OrderDate,Name,OrderStatus,MachineTimestamp,MachineStatus,DeviceName,MachineType
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:07:21.701Z,Started,urn:ngsi-ld:Axis:001,3 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:07:39.701Z,Cutting 1,urn:ngsi-ld:Axis:001,3 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:20:40.701Z,Finished,urn:ngsi-ld:Axis:001,3 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:22:56.701Z,Started,urn:ngsiv2:ROS2System:Turtle001,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:23:10.701Z,Moving,urn:ngsiv2:ROS2System:Turtle001,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:28:14.701Z,Finished,urn:ngsiv2:ROS2System:Turtle001,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:32:29.701Z,Started,urn:ngsi-ld:Axis:002,5 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:32:54.701Z,Trimming 1,urn:ngsi-ld:Axis:002,5 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:41:02.701Z,Finished,urn:ngsi-ld:Axis:002,5 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:45:26.701Z,Started,urn:ngsiv2:ROS2System:Turtle002,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:45:39.701Z,Moving,urn:ngsiv2:ROS2System:Turtle002,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:55:15.701Z,Started,urn:ngsi-ld:Axis:003,3 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:55:15.701Z,Started,urn:ngsi-ld:Axis:003,3 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T08:55:23.701Z,Cutting 2,urn:ngsi-ld:Axis:003,3 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:06:28.701Z,Finished,urn:ngsi-ld:Axis:003,3 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:08:54.701Z,Started,urn:ngsiv2:ROS2System:Turtle003,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:08:54.701Z,Moving,urn:ngsiv2:ROS2System:Turtle003,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:17:14.701Z,Finished,urn:ngsiv2:ROS2System:Turtle003,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:19:26.701Z,Started,urn:ngsi-ld:Axis:004,5 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:19:52.701Z,Trimming 2,urn:ngsi-ld:Axis:004,5 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:32:58.701Z,Finished,urn:ngsi-ld:Axis:004,5 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:34:25.701Z,Started,urn:ngsiv2:ROS2System:Turtle004,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:34:33.701Z,Moving,urn:ngsiv2:ROS2System:Turtle004,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:44:01.701Z,Started,urn:ngsi-ld:Axis:005,3 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:44:01.701Z,Started,urn:ngsi-ld:Axis:005,3 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:44:20.701Z,Cutting 2,urn:ngsi-ld:Axis:005,3 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:57:44.701Z,Finished,urn:ngsi-ld:Axis:005,3 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:59:53.701Z,Started,urn:ngsiv2:ROS2System:Turtle005,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T09:59:53.701Z,Moving,urn:ngsiv2:ROS2System:Turtle005,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T10:07:35.701Z,Finished,urn:ngsiv2:ROS2System:Turtle005,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T10:11:54.701Z,Started,urn:ngsi-ld:Axis:006,5 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T10:12:20.701Z,Trimming 3,urn:ngsi-ld:Axis:006,5 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T10:23:28.701Z,Finished,urn:ngsi-ld:Axis:006,5 Axis
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T10:27:45.701Z,Started,urn:ngsiv2:ROS2System:Turtle006,ROS2System
2023-01-25T08:00:00.701Z,Order No.1,Succeded,2023-01-25T10:28:12.701Z,Moving,urn:ngsiv2:ROS2System:Turtle006,ROS2System
