recvTime,fiwareServicePath,entityId,entityType,attrName,attrType,attrValue
2023-01-25T08:23:11.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T08:23:11.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T08:31:06.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-25T09:29:41.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T09:29:41.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T09:37:31.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-25T10:26:28.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T10:26:28.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T10:34:13.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-25T11:29:22.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T11:29:22.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T11:38:43.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-25T12:32:39.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T12:32:39.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T12:40:53.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-25T13:25:14.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T13:25:14.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T13:30:45.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-25T14:23:10.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T14:23:10.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T14:29:47.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-25T15:21:23.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T15:21:23.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T15:30:01.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-25T16:16:46.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T16:16:46.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T16:23:30.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-25T17:08:16.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T17:08:16.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T17:15:35.628Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
